init_node,term_node,capacity,length,free_flow_time,b,power,simu_g/c,gamma,n',neta,no_signal,accurate_g/c
54,55,2796,0.83839,0.83839,0.15,4,0.333333333,0.8,3.2,1,,
54,56,3259,1.07018,1.07018,0.15,4,0.333333333,0.8,3.2,1,,
55,47,12510,1.52672,1.52672,0.15,4,1,0.8,3.2,1,1,
55,54,2097,0.83839,0.83839,0.15,4,0.25,0.8,3.2,1,,
55,57,14112,1.23245,1.23245,0.15,4,1,0.8,3.2,1,,
55,58,1754,0.60915,0.60915,0.15,4,0.25,0.8,3.2,1,,
56,44,4729,1.80642,1.80642,0.15,4,0.333333333,0.8,3.2,1,,
56,54,3259,1.07018,1.07018,0.15,4,0.333333333,0.8,3.2,1,,
56,57,2747,0.81395,0.81395,0.15,4,0.333333333,0.8,3.2,1,,
57,46,14483,1.85601,1.85601,0.15,4,1,0.8,3.2,1,1,
57,55,14112,1.23245,1.23245,0.15,4,1,0.8,3.2,1,,
57,56,2060,0.81395,0.81395,0.15,4,0.25,0.8,3.2,1,,
57,59,1375,0.35606,0.35606,0.15,4,0.25,0.8,3.2,1,,
58,55,3507,0.60915,0.60915,0.15,4,0.5,0.8,3.2,1,,
58,59,5448,1.25704,1.25704,0.15,4,0.5,0.8,3.2,1,,
59,57,2749,0.35606,0.35606,0.15,4,0.5,0.8,3.2,1,,
59,58,5448,1.25704,1.25704,0.15,4,0.5,0.8,3.2,1,,
60,43,4006,2.78141,2.78141,0.15,4,0.2,0.8,3.2,1,,
60,45,4421,3.1283,3.1283,0.15,4,0.2,0.8,3.2,1,,
60,61,1759,0.90648,0.90648,0.15,4,0.2,0.8,3.2,1,,
60,63,3347,2.23145,2.23145,0.15,4,0.2,0.8,3.2,1,,
60,64,4892,3.52088,3.52088,0.15,4,0.2,0.8,3.2,1,,
61,60,4398,0.90648,0.90648,0.15,4,0.5,0.8,3.2,1,,
61,62,6888,1.73796,1.73796,0.15,4,0.5,0.8,3.2,1,,
62,46,24033,3.45025,3.45025,0.15,4,1,0.8,3.2,1,1,
62,61,4592,1.73796,1.73796,0.15,4,0.333333333,0.8,3.2,1,,
62,63,5706,2.29587,2.29587,0.15,4,0.333333333,0.8,3.2,1,,
63,60,8366,2.23145,2.23145,0.15,4,0.5,0.8,3.2,1,,
63,62,8559,2.29587,2.29587,0.15,4,0.5,0.8,3.2,1,,
64,43,4923,1.90371,1.90371,0.15,4,0.333333333,0.8,3.2,1,,
64,60,8152,3.52088,3.52088,0.15,4,0.333333333,0.8,3.2,1,,
64,65,4535,1.70944,1.70944,0.15,4,0.333333333,0.8,3.2,1,,
65,64,4535,1.70944,1.70944,0.15,4,0.333333333,0.8,3.2,1,,
65,66,5174,2.02957,2.02957,0.15,4,0.333333333,0.8,3.2,1,,
65,68,6540,2.71349,2.71349,0.15,4,0.333333333,0.8,3.2,1,,
66,65,7761,2.02957,2.02957,0.15,4,0.5,0.8,3.2,1,,
66,67,5601,1.30844,1.30844,0.15,4,0.5,0.8,3.2,1,,
67,66,3734,1.30844,1.30844,0.15,4,0.333333333,0.8,3.2,1,,
67,68,5744,2.31466,2.31466,0.15,4,0.333333333,0.8,3.2,1,,
67,70,4138,1.51047,1.51047,0.15,4,0.333333333,0.8,3.2,1,,
68,65,4905,2.71349,2.71349,0.15,4,0.25,0.8,3.2,1,,
68,67,4308,2.31466,2.31466,0.15,4,0.25,0.8,3.2,1,,
68,69,2934,1.397,1.397,0.15,4,0.25,0.8,3.2,1,,
68,115,5841,3.33854,3.33854,0.15,4,0.25,0.8,3.2,1,,
69,68,2934,1.397,1.397,0.15,4,0.25,0.8,3.2,1,,
69,70,3915,2.05253,2.05253,0.15,4,0.25,0.8,3.2,1,,
69,71,7336,4.33691,4.33691,0.15,4,0.25,0.8,3.2,1,,
69,73,8638,5.20574,5.20574,0.15,4,0.25,0.8,3.2,1,,
70,67,6207,1.51047,1.51047,0.15,4,0.5,0.8,3.2,1,,
70,69,7830,2.05253,2.05253,0.15,4,0.5,0.8,3.2,1,,
71,69,14672,4.33691,4.33691,0.15,4,0.5,0.8,3.2,1,,
71,72,28120,8.82672,8.82672,0.15,4,0.5,0.8,3.2,1,,
72,71,18747,8.82672,8.82672,0.15,4,0.333333333,0.8,3.2,1,,
72,101,4472,1.67788,1.67788,0.15,4,0.333333333,0.8,3.2,1,,
72,102,5601,2.24296,2.24296,0.15,4,0.333333333,0.8,3.2,1,,
73,69,8638,5.20574,5.20574,0.15,4,0.25,0.8,3.2,1,,
73,74,1982,0.76176,0.76176,0.15,4,0.25,0.8,3.2,1,,
73,76,3724,1.92499,1.92499,0.15,4,0.25,0.8,3.2,1,,
73,79,2979,1.42758,1.42758,0.15,4,0.25,0.8,3.2,1,,
74,73,1982,0.76176,0.76176,0.15,4,0.25,0.8,3.2,1,,
74,75,3529,1.7945,1.7945,0.15,4,0.25,0.8,3.2,1,,
74,98,2323,0.98918,0.98918,0.15,4,0.25,0.8,3.2,1,,
74,99,1829,0.65965,0.65965,0.15,4,0.25,0.8,3.2,1,,
75,74,7057,1.7945,1.7945,0.15,4,0.5,0.8,3.2,1,,
75,76,4193,0.83827,0.83827,0.15,4,0.5,0.8,3.2,1,,
76,73,7448,1.92499,1.92499,0.15,4,0.5,0.8,3.2,1,,
76,75,4193,0.83827,0.83827,0.15,4,0.5,0.8,3.2,1,,
77,38,4946,2.74043,2.74043,0.15,4,0.25,0.8,3.2,1,,
77,39,2172,0.88868,0.88868,0.15,4,0.25,0.8,3.2,1,,
77,52,2507,1.11243,1.11243,0.15,4,0.25,0.8,3.2,1,,
77,78,5769,3.29052,3.29052,0.15,4,0.25,0.8,3.2,1,,
78,77,5769,3.29052,3.29052,0.15,4,0.25,0.8,3.2,1,,
78,79,2313,0.9827,0.9827,0.15,4,0.25,0.8,3.2,1,,
78,97,2891,1.36867,1.36867,0.15,4,0.25,0.8,3.2,1,,
78,114,4445,2.40595,2.40595,0.15,4,0.25,0.8,3.2,1,,
79,73,2979,1.42758,1.42758,0.15,4,0.25,0.8,3.2,1,,
79,78,2313,0.9827,0.9827,0.15,4,0.25,0.8,3.2,1,,
79,98,1582,0.4943,0.4943,0.15,4,0.25,0.8,3.2,1,,
79,115,3799,1.97457,1.97457,0.15,4,0.25,0.8,3.2,1,,
80,38,3553,1.81028,1.81028,0.15,4,0.25,0.8,3.2,1,,
80,86,3451,1.74229,1.74229,0.15,4,0.25,0.8,3.2,1,,
80,95,1994,0.76987,0.76987,0.15,4,0.25,0.8,3.2,1,,
80,97,2756,1.27835,1.27835,0.15,4,0.25,0.8,3.2,1,,
81,33,2132,0.86146,0.86146,0.15,4,0.25,0.8,3.2,1,,
81,34,1727,0.59115,0.59115,0.15,4,0.25,0.8,3.2,1,,
81,82,2372,1.02217,1.02217,0.15,4,0.25,0.8,3.2,1,,
81,85,1427,0.39112,0.39112,0.15,4,0.25,0.8,3.2,1,,
82,81,3163,1.02217,1.02217,0.15,4,0.333333333,0.8,3.2,1,,
82,83,1988,0.43398,0.43398,0.15,4,0.333333333,0.8,3.2,1,,
82,104,2739,0.8101,0.8101,0.15,4,0.333333333,0.8,3.2,1,,
83,82,1988,0.43398,0.43398,0.15,4,0.333333333,0.8,3.2,1,,
83,84,1732,0.3056,0.3056,0.15,4,0.333333333,0.8,3.2,1,,
83,87,1858,0.36865,0.36865,0.15,4,0.333333333,0.8,3.2,1,,
84,83,1732,0.3056,0.3056,0.15,4,0.333333333,0.8,3.2,1,,
84,85,1920,0.39967,0.39967,0.15,4,0.333333333,0.8,3.2,1,,
84,86,2057,0.4685,0.4685,0.15,4,0.333333333,0.8,3.2,1,,
85,81,1903,0.39112,0.39112,0.15,4,0.333333333,0.8,3.2,1,,
85,84,1920,0.39967,0.39967,0.15,4,0.333333333,0.8,3.2,1,,
85,86,1793,0.33594,0.33594,0.15,4,0.333333333,0.8,3.2,1,,
